quarter,year,community,tier,transactions,median_psf,qoq_change_pct,median_price_aed,total_volume_aed,avg_roi_pct,off_plan_share_pct,avg_area_sqft
Q3 2024,2024,Downtown Dubai,Premium,157,3633.0,3.11,3838000.0,841785000,4.98,52.9,1463.0
Q4 2024,2024,Downtown Dubai,Premium,206,3775.0,3.9,4177000.0,1241398000,5.03,53.4,1587.0
Q1 2022,2022,DIFC,Premium,88,2511.0,,2774000.0,342871000,4.18,36.4,1540.0
Q2 2022,2022,DIFC,Premium,80,2487.0,-0.93,2354000.0,308956000,4.22,40.0,1555.0
Q3 2022,2022,DIFC,Premium,92,2638.0,6.07,3956000.0,404554000,4.23,50.0,1680.0
Q4 2022,2022,DIFC,Premium,90,2901.0,9.97,3614000.0,414676000,4.19,45.6,1581.0
Q1 2023,2023,DIFC,Premium,91,2685.0,-7.45,2579000.0,359323000,4.22,51.6,1465.0
Q2 2023,2023,DIFC,Premium,92,2932.0,9.18,3581000.0,420406000,4.18,41.3,1551.0
Q3 2023,2023,DIFC,Premium,94,3065.0,4.55,4222000.0,442952000,4.18,54.3,1545.0
Q4 2023,2023,DIFC,Premium,101,3100.0,1.13,3595000.0,501042000,4.18,50.5,1608.0
Q1 2024,2024,DIFC,Premium,96,3345.0,7.91,3588000.0,456663000,4.24,49.0,1419.0
Q2 2024,2024,DIFC,Premium,76,3398.0,1.58,4862000.0,455985000,4.23,51.3,1771.0
Q3 2024,2024,DIFC,Premium,86,3413.0,0.44,4490000.0,451766000,4.24,50.0,1531.0
Q4 2024,2024,DIFC,Premium,102,3295.0,-3.46,3649000.0,509284000,4.19,54.9,1511.0
Q1 2022,2022,Dubai Marina,Premium,289,2213.0,,2151000.0,936402000,5.92,45.0,1446.0
Q2 2022,2022,Dubai Marina,Premium,277,2295.0,3.68,2577000.0,976697000,5.87,49.5,1524.0
Q3 2022,2022,Dubai Marina,Premium,314,2322.0,1.21,2530000.0,1121475000,5.91,50.0,1539.0
Q4 2022,2022,Dubai Marina,Premium,260,2541.0,9.4,2624000.0,1002010000,5.88,45.0,1509.0
Q1 2023,2023,Dubai Marina,Premium,325,2452.0,-3.51,2849000.0,1219231000,5.92,49.5,1526.0
Q2 2023,2023,Dubai Marina,Premium,291,2578.0,5.15,2960000.0,1123811000,5.93,51.2,1497.0
Q3 2023,2023,Dubai Marina,Premium,256,2757.0,6.95,2928000.0,1057250000,5.87,51.2,1492.0
Q4 2023,2023,Dubai Marina,Premium,322,2818.0,2.21,2974000.0,1333267000,5.9,48.8,1474.0
Q1 2024,2024,Dubai Marina,Premium,269,2882.0,2.25,2998000.0,1126328000,5.89,49.1,1456.0
Q2 2024,2024,Dubai Marina,Premium,266,2703.0,-6.21,3451000.0,1162306000,5.92,56.0,1615.0
Q3 2024,2024,Dubai Marina,Premium,324,2829.0,4.69,3170000.0,1463927000,5.89,55.6,1598.0
Q4 2024,2024,Dubai Marina,Premium,284,2975.0,5.15,3286000.0,1270719000,5.91,56.0,1500.0
Q1 2022,2022,Business Bay,Mid-Market,213,1924.0,,2062000.0,600128000,5.58,53.1,1456.0
Q2 2022,2022,Business Bay,Mid-Market,271,2137.0,11.04,2153000.0,839597000,5.6,41.0,1460.0
Q3 2022,2022,Business Bay,Mid-Market,263,2014.0,-5.76,1992000.0,764359000,5.6,44.9,1431.0
Q4 2022,2022,Business Bay,Mid-Market,231,2216.0,10.07,2599000.0,752598000,5.6,44.6,1463.0
Q1 2023,2023,Business Bay,Mid-Market,265,2140.0,-3.45,2271000.0,886967000,5.63,48.3,1564.0
Q2 2023,2023,Business Bay,Mid-Market,207,2353.0,9.97,2560000.0,722371000,5.62,52.7,1491.0
Q3 2023,2023,Business Bay,Mid-Market,223,2336.0,-0.72,2739000.0,847466000,5.6,50.2,1637.0
Q4 2023,2023,Business Bay,Mid-Market,273,2417.0,3.43,2418000.0,947608000,5.61,48.7,1428.0
Q1 2024,2024,Business Bay,Mid-Market,204,2516.0,4.13,3104000.0,797388000,5.6,50.5,1561.0
Q2 2024,2024,Business Bay,Mid-Market,219,2458.0,-2.33,2583000.0,772382000,5.58,44.7,1436.0
Q3 2024,2024,Business Bay,Mid-Market,211,2627.0,6.9,2967000.0,867084000,5.63,49.8,1564.0
Q4 2024,2024,Business Bay,Mid-Market,275,2672.0,1.72,3206000.0,1130235000,5.59,53.5,1539.0
Q1 2022,2022,Dubai Hills Estate,Mid-Market,224,1780.0,,2136000.0,646128000,4.31,52.7,1621.0
Q2 2022,2022,Dubai Hills Estate,Mid-Market,200,1835.0,3.05,2184000.0,552984000,4.31,43.5,1501.0
Q3 2022,2022,Dubai Hills Estate,Mid-Market,228,1977.0,7.76,2334000.0,707191000,4.3,42.5,1567.0
Q4 2022,2022,Dubai Hills Estate,Mid-Market,201,2044.0,3.38,2184000.0,583071000,4.31,46.3,1413.0
Q1 2023,2023,Dubai Hills Estate,Mid-Market,183,1977.0,-3.26,2097000.0,530212000,4.32,46.4,1471.0
Q2 2023,2023,Dubai Hills Estate,Mid-Market,227,2040.0,3.18,2294000.0,705911000,4.3,51.5,1518.0
Q3 2023,2023,Dubai Hills Estate,Mid-Market,201,2167.0,6.21,2503000.0,691165000,4.31,55.2,1585.0
Q4 2023,2023,Dubai Hills Estate,Mid-Market,191,2298.0,6.04,2412000.0,608632000,4.31,53.9,1393.0
Q1 2024,2024,Dubai Hills Estate,Mid-Market,181,2320.0,0.97,2527000.0,638826000,4.32,52.5,1516.0
Q2 2024,2024,Dubai Hills Estate,Mid-Market,202,2365.0,1.94,2808000.0,766648000,4.29,54.5,1603.0
Q3 2024,2024,Dubai Hills Estate,Mid-Market,222,2364.0,-0.02,2290000.0,723454000,4.31,53.2,1385.0
Q4 2024,2024,Dubai Hills Estate,Mid-Market,194,2535.0,7.22,2470000.0,734221000,4.29,52.1,1496.0
Q1 2022,2022,Jumeirah Village Circle,Mid-Market,308,1201.0,,1529000.0,580814000,7.89,45.5,1582.0
Q2 2022,2022,Jumeirah Village Circle,Mid-Market,304,1259.0,4.76,1348000.0,549810000,7.9,50.0,1441.0
Q3 2022,2022,Jumeirah Village Circle,Mid-Market,299,1229.0,-2.36,1405000.0,577729000,7.88,41.5,1570.0
Q4 2022,2022,Jumeirah Village Circle,Mid-Market,357,1244.0,1.27,1289000.0,650744000,7.95,50.4,1449.0
Q1 2023,2023,Jumeirah Village Circle,Mid-Market,311,1347.0,8.21,1462000.0,629664000,7.88,44.1,1499.0
Q2 2023,2023,Jumeirah Village Circle,Mid-Market,334,1344.0,-0.22,1468000.0,659888000,7.9,45.2,1479.0
Q3 2023,2023,Jumeirah Village Circle,Mid-Market,313,1382.0,2.86,1522000.0,657679000,7.92,46.6,1516.0
Q4 2023,2023,Jumeirah Village Circle,Mid-Market,305,1414.0,2.27,1631000.0,680430000,7.89,53.1,1583.0
Q1 2024,2024,Jumeirah Village Circle,Mid-Market,353,1498.0,5.99,1549000.0,770183000,7.94,54.4,1460.0
Q2 2024,2024,Jumeirah Village Circle,Mid-Market,333,1535.0,2.43,1524000.0,728797000,7.87,55.6,1419.0
Q3 2024,2024,Jumeirah Village Circle,Mid-Market,329,1545.0,0.69,1675000.0,767273000,7.91,53.2,1495.0
Q4 2024,2024,Jumeirah Village Circle,Mid-Market,324,1480.0,-4.25,1646000.0,737112000,7.91,58.0,1529.0
Q1 2022,2022,Al Barsha,Mid-Market,147,1569.0,,1509000.0,313947000,6.42,47.6,1365.0
Q2 2022,2022,Al Barsha,Mid-Market,130,1555.0,-0.91,1641000.0,288188000,6.38,51.5,1423.0
Q3 2022,2022,Al Barsha,Mid-Market,155,1607.0,3.32,1727000.0,360960000,6.38,42.6,1457.0
Q4 2022,2022,Al Barsha,Mid-Market,125,1646.0,2.45,1993000.0,349411000,6.44,48.0,1698.0
Q1 2023,2023,Al Barsha,Mid-Market,145,1673.0,1.65,1764000.0,362782000,6.38,54.5,1507.0
Q2 2023,2023,Al Barsha,Mid-Market,136,1713.0,2.37,1730000.0,330666000,6.41,48.5,1408.0
Q3 2023,2023,Al Barsha,Mid-Market,132,1808.0,5.54,2140000.0,381490000,6.42,53.8,1609.0
Q4 2023,2023,Al Barsha,Mid-Market,146,1793.0,-0.82,1979000.0,389073000,6.37,47.9,1486.0
Q1 2024,2024,Al Barsha,Mid-Market,129,1968.0,9.78,2303000.0,371141000,6.36,62.8,1464.0
Q2 2024,2024,Al Barsha,Mid-Market,143,1908.0,-3.07,2181000.0,433082000,6.41,51.7,1588.0
Q3 2024,2024,Al Barsha,Mid-Market,134,1992.0,4.41,1913000.0,376895000,6.37,58.2,1415.0
Q4 2024,2024,Al Barsha,Mid-Market,120,2021.0,1.46,2422000.0,392013000,6.41,60.8,1632.0
Q1 2022,2022,Jumeirah Lake Towers,Mid-Market,165,1440.0,,1767000.0,360657000,6.8,45.5,1515.0
Q2 2022,2022,Jumeirah Lake Towers,Mid-Market,176,1368.0,-4.99,1619000.0,382062000,6.82,44.3,1574.0
Q3 2022,2022,Jumeirah Lake Towers,Mid-Market,164,1470.0,7.42,1821000.0,408584000,6.83,45.7,1669.0
Q4 2022,2022,Jumeirah Lake Towers,Mid-Market,142,1506.0,2.49,1418000.0,266084000,6.81,43.0,1242.0
Q1 2023,2023,Jumeirah Lake Towers,Mid-Market,176,1538.0,2.09,1745000.0,419107000,6.77,47.2,1542.0
Q2 2023,2023,Jumeirah Lake Towers,Mid-Market,137,1634.0,6.29,1769000.0,307192000,6.82,46.7,1374.0
Q3 2023,2023,Jumeirah Lake Towers,Mid-Market,159,1595.0,-2.41,1832000.0,391698000,6.76,54.1,1539.0
Q4 2023,2023,Jumeirah Lake Towers,Mid-Market,150,1632.0,2.35,1864000.0,389000000,6.77,50.7,1590.0
Q1 2024,2024,Jumeirah Lake Towers,Mid-Market,138,1755.0,7.48,1760000.0,357499000,6.82,52.2,1478.0
Q2 2024,2024,Jumeirah Lake Towers,Mid-Market,156,1701.0,-3.05,1915000.0,400221000,6.77,55.1,1502.0
Q3 2024,2024,Jumeirah Lake Towers,Mid-Market,179,1789.0,5.16,2052000.0,481464000,6.78,55.9,1509.0
Q4 2024,2024,Jumeirah Lake Towers,Mid-Market,150,1959.0,9.52,2120000.0,442743000,6.79,56.7,1512.0
Q1 2022,2022,Mirdif,Affordable,123,1034.0,,1231000.0,195501000,6.17,43.9,1544.0
Q2 2022,2022,Mirdif,Affordable,122,1003.0,-3.01,1078000.0,164748000,6.24,39.3,1360.0
Q3 2022,2022,Mirdif,Affordable,119,1044.0,4.12,1151000.0,180438000,6.22,44.5,1452.0
Q4 2022,2022,Mirdif,Affordable,100,1033.0,-1.1,1173000.0,157851000,6.15,49.0,1529.0
Q1 2023,2023,Mirdif,Affordable,104,1117.0,8.14,1212000.0,161472000,6.19,44.2,1397.0
Q2 2023,2023,Mirdif,Affordable,106,1162.0,4.07,1322000.0,183161000,6.17,43.4,1483.0
Q3 2023,2023,Mirdif,Affordable,116,1238.0,6.49,1283000.0,214057000,6.2,55.2,1476.0
Q4 2023,2023,Mirdif,Affordable,96,1180.0,-4.65,1308000.0,182113000,6.25,53.1,1603.0
Q1 2024,2024,Mirdif,Affordable,122,1324.0,12.19,1696000.0,270209000,6.21,58.2,1667.0
Q2 2024,2024,Mirdif,Affordable,119,1324.0,0.02,1244000.0,221251000,6.21,52.9,1382.0
Q3 2024,2024,Mirdif,Affordable,123,1348.0,1.78,1284000.0,212639000,6.18,52.0,1289.0
Q4 2024,2024,Mirdif,Affordable,105,1361.0,0.99,1385000.0,211394000,6.21,49.5,1482.0
Q1 2022,2022,Sports City,Affordable,141,933.0,,1008000.0,195039000,7.28,48.9,1496.0
Q2 2022,2022,Sports City,Affordable,144,933.0,0.0,978000.0,192486000,7.32,57.6,1417.0
Q3 2022,2022,Sports City,Affordable,128,1036.0,11.05,965000.0,183995000,7.31,46.1,1388.0
Q4 2022,2022,Sports City,Affordable,133,1010.0,-2.52,1111000.0,194127000,7.3,51.9,1438.0
Q1 2023,2023,Sports City,Affordable,145,1061.0,5.06,1196000.0,230027000,7.27,49.7,1482.0
Q2 2023,2023,Sports City,Affordable,113,1075.0,1.28,1435000.0,200048000,7.31,55.8,1669.0
Q3 2023,2023,Sports City,Affordable,147,1118.0,4.01,1223000.0,257099000,7.32,53.7,1561.0
Q4 2023,2023,Sports City,Affordable,112,1164.0,4.11,1554000.0,210339000,7.26,50.0,1610.0
Q1 2024,2024,Sports City,Affordable,129,1189.0,2.2,1257000.0,233867000,7.27,53.5,1528.0
Q2 2024,2024,Sports City,Affordable,116,1230.0,3.45,1336000.0,223508000,7.42,54.3,1576.0
Q3 2024,2024,Sports City,Affordable,136,1225.0,-0.4,1294000.0,230600000,7.29,56.6,1386.0
Q4 2024,2024,Sports City,Affordable,117,1243.0,1.46,1456000.0,234166000,7.31,60.7,1612.0
Q1 2022,2022,Silicon Oasis,Affordable,118,907.0,,892000.0,152295000,7.09,45.8,1409.0
Q2 2022,2022,Silicon Oasis,Affordable,127,829.0,-8.57,953000.0,158246000,7.08,44.9,1513.0
Q3 2022,2022,Silicon Oasis,Affordable,102,979.0,18.1,1032000.0,151053000,7.15,44.1,1511.0
Q4 2022,2022,Silicon Oasis,Affordable,120,1029.0,5.09,1258000.0,211584000,7.11,40.8,1724.0
Q1 2023,2023,Silicon Oasis,Affordable,126,1041.0,1.17,1137000.0,203882000,7.11,45.2,1551.0
Q2 2023,2023,Silicon Oasis,Affordable,109,1001.0,-3.85,1077000.0,155124000,7.1,49.5,1433.0
Q3 2023,2023,Silicon Oasis,Affordable,132,1060.0,5.9,1147000.0,224206000,7.12,49.2,1591.0
Q4 2023,2023,Silicon Oasis,Affordable,114,1140.0,7.52,1314000.0,200102000,7.07,55.3,1529.0
Q1 2024,2024,Silicon Oasis,Affordable,115,1135.0,-0.46,1630000.0,215242000,7.15,53.0,1640.0
Q2 2024,2024,Silicon Oasis,Affordable,137,1177.0,3.67,1321000.0,244593000,7.13,56.9,1520.0
Q3 2024,2024,Silicon Oasis,Affordable,131,1122.0,-4.62,1179000.0,208199000,7.07,58.8,1430.0
Q4 2024,2024,Silicon Oasis,Affordable,113,1264.0,12.59,1500000.0,226437000,7.11,60.2,1596.0
Q1 2022,2022,Discovery Gardens,Affordable,93,753.0,,1018000.0,110274000,8.54,41.9,1596.0
Q2 2022,2022,Discovery Gardens,Affordable,80,810.0,7.66,920000.0,109210000,8.49,47.5,1684.0
Q3 2022,2022,Discovery Gardens,Affordable,87,830.0,2.44,841000.0,91357000,8.57,39.1,1253.0
Q4 2022,2022,Discovery Gardens,Affordable,101,856.0,3.17,1231000.0,146253000,8.52,45.5,1676.0
Q1 2023,2023,Discovery Gardens,Affordable,103,903.0,5.49,934000.0,142394000,8.49,58.3,1527.0
Q2 2023,2023,Discovery Gardens,Affordable,79,938.0,3.82,1045000.0,109695000,8.44,43.0,1483.0
Q3 2023,2023,Discovery Gardens,Affordable,77,912.0,-2.77,906000.0,94909000,8.45,51.9,1335.0
Q4 2023,2023,Discovery Gardens,Affordable,76,1015.0,11.28,1100000.0,122497000,8.42,38.2,1593.0
Q1 2024,2024,Discovery Gardens,Affordable,97,981.0,-3.29,1367000.0,153634000,8.47,51.5,1618.0
Q2 2024,2024,Discovery Gardens,Affordable,86,989.0,0.74,1204000.0,142875000,8.49,57.0,1667.0
Q3 2024,2024,Discovery Gardens,Affordable,95,1029.0,4.07,1169000.0,142612000,8.54,53.7,1449.0
Q4 2024,2024,Discovery Gardens,Affordable,80,1041.0,1.18,1608000.0,148085000,8.65,50.0,1769.0
Q1 2022,2022,Deira,Affordable,87,891.0,,1243000.0,135870000,6.88,50.6,1737.0
Q2 2022,2022,Deira,Affordable,90,931.0,4.48,1214000.0,136334000,6.93,42.2,1632.0
Q3 2022,2022,Deira,Affordable,101,945.0,1.49,1409000.0,155429000,6.92,47.5,1631.0
Q4 2022,2022,Deira,Affordable,99,968.0,2.51,1020000.0,127869000,6.87,49.5,1344.0
Q1 2023,2023,Deira,Affordable,102,916.0,-5.46,913000.0,136463000,6.94,44.1,1469.0
Q2 2023,2023,Deira,Affordable,110,1012.0,10.54,1108000.0,168607000,6.92,48.2,1521.0
Q3 2023,2023,Deira,Affordable,93,1012.0,-0.01,1195000.0,146191000,6.89,53.8,1538.0
Q4 2023,2023,Deira,Affordable,90,1135.0,12.19,1140000.0,150053000,6.94,55.6,1451.0
Q1 2024,2024,Deira,Affordable,109,1139.0,0.32,1347000.0,204617000,6.91,56.0,1642.0
Q2 2024,2024,Deira,Affordable,90,1082.0,-5.03,1254000.0,165307000,6.93,55.6,1673.0
Q3 2024,2024,Deira,Affordable,97,1199.0,10.81,1453000.0,185133000,6.97,43.3,1599.0
Q4 2024,2024,Deira,Affordable,106,1147.0,-4.32,1092000.0,161782000,6.9,63.2,1341.0
Q1 2022,2022,Bur Dubai,Affordable,90,944.0,,872000.0,117028000,6.58,44.4,1379.0
Q2 2022,2022,Bur Dubai,Affordable,85,949.0,0.56,1420000.0,139815000,6.63,48.2,1739.0
Q3 2022,2022,Bur Dubai,Affordable,85,952.0,0.3,1333000.0,136431000,6.63,49.4,1669.0
Q4 2022,2022,Bur Dubai,Affordable,83,978.0,2.69,971000.0,124576000,6.63,47.0,1537.0
Q1 2023,2023,Bur Dubai,Affordable,81,1079.0,10.33,1067000.0,124621000,6.59,30.9,1423.0
Q2 2023,2023,Bur Dubai,Affordable,106,1103.0,2.23,1306000.0,191375000,6.55,50.0,1625.0
Q3 2023,2023,Bur Dubai,Affordable,91,1135.0,2.92,1256000.0,156273000,6.62,54.9,1505.0
Q4 2023,2023,Bur Dubai,Affordable,86,1126.0,-0.83,1306000.0,154820000,6.61,59.3,1597.0
Q1 2024,2024,Bur Dubai,Affordable,99,1121.0,-0.38,1369000.0,174597000,6.58,50.5,1577.0
Q2 2024,2024,Bur Dubai,Affordable,106,1185.0,5.69,1165000.0,197209000,6.61,52.8,1581.0
Q3 2024,2024,Bur Dubai,Affordable,81,1236.0,4.32,1380000.0,144583000,6.64,53.1,1452.0
Q4 2024,2024,Bur Dubai,Affordable,98,1209.0,-2.2,1611000.0,188136000,6.59,58.2,1572.0
Q1 2022,2022,International City,Affordable,79,673.0,,672000.0,68706000,9.14,43.0,1296.0
Q2 2022,2022,International City,Affordable,75,646.0,-4.01,710000.0,68466000,9.15,41.3,1424.0
Q3 2022,2022,International City,Affordable,67,724.0,12.08,688000.0,68608000,9.13,55.2,1430.0
Q4 2022,2022,International City,Affordable,83,738.0,1.84,814000.0,86981000,9.25,47.0,1417.0
Q1 2023,2023,International City,Affordable,66,745.0,1.0,670000.0,68743000,9.19,51.5,1392.0
Q2 2023,2023,International City,Affordable,72,777.0,4.32,781000.0,75079000,9.13,50.0,1367.0
Q3 2023,2023,International City,Affordable,73,781.0,0.46,834000.0,76251000,9.26,47.9,1349.0
Q4 2023,2023,International City,Affordable,73,822.0,5.29,945000.0,96571000,9.24,47.9,1586.0
Q1 2024,2024,International City,Affordable,82,819.0,-0.34,795000.0,99932000,9.19,53.7,1501.0
Q2 2024,2024,International City,Affordable,70,884.0,7.83,840000.0,88475000,9.26,55.7,1407.0
Q3 2024,2024,International City,Affordable,69,909.0,2.87,1212000.0,96264000,9.2,62.3,1539.0
Q4 2024,2024,International City,Affordable,75,833.0,-8.32,1203000.0,108398000,9.2,49.3,1730.0
Q1 2022,2022,Arjan,Affordable,77,1068.0,,994000.0,109140000,7.04,53.2,1329.0
Q2 2022,2022,Arjan,Affordable,75,1036.0,-2.91,1176000.0,118242000,7.01,50.7,1535.0
Q3 2022,2022,Arjan,Affordable,79,1142.0,10.21,1051000.0,131647000,6.97,44.3,1475.0
Q4 2022,2022,Arjan,Affordable,75,1173.0,2.67,1464000.0,127004000,6.91,56.0,1454.0
Q1 2023,2023,Arjan,Affordable,92,1152.0,-1.8,1316000.0,159117000,7.01,44.6,1504.0
Q2 2023,2023,Arjan,Affordable,88,1204.0,4.52,1546000.0,164705000,7.07,47.7,1540.0
Q3 2023,2023,Arjan,Affordable,84,1269.0,5.42,1685000.0,163458000,6.98,47.6,1522.0
Q4 2023,2023,Arjan,Affordable,82,1236.0,-2.56,1408000.0,152150000,6.94,50.0,1507.0
Q1 2024,2024,Arjan,Affordable,80,1336.0,8.01,1806000.0,169976000,7.05,37.5,1586.0
Q2 2024,2024,Arjan,Affordable,75,1382.0,3.47,1326000.0,147380000,6.95,50.7,1429.0
Q3 2024,2024,Arjan,Affordable,76,1393.0,0.83,1530000.0,155551000,6.98,59.2,1461.0
Q4 2024,2024,Arjan,Affordable,89,1309.0,-6.03,1380000.0,177459000,7.04,55.1,1534.0
Q1 2022,2022,Dubai South,Affordable,68,872.0,,1109000.0,90560000,6.47,41.2,1518.0
Q2 2022,2022,Dubai South,Affordable,72,849.0,-2.64,868000.0,87205000,6.51,45.8,1433.0
Q3 2022,2022,Dubai South,Affordable,68,917.0,8.05,914000.0,92043000,6.48,41.2,1482.0
Q4 2022,2022,Dubai South,Affordable,67,981.0,7.03,931000.0,88437000,6.48,50.7,1350.0
Q1 2023,2023,Dubai South,Affordable,65,943.0,-3.87,911000.0,88417000,6.54,52.3,1450.0
Q2 2023,2023,Dubai South,Affordable,78,946.0,0.26,996000.0,113162000,6.4,55.1,1541.0
Q3 2023,2023,Dubai South,Affordable,77,1031.0,9.04,1249000.0,127140000,6.52,44.2,1619.0
Q4 2023,2023,Dubai South,Affordable,75,1047.0,1.5,1188000.0,133213000,6.53,57.3,1681.0
Q1 2024,2024,Dubai South,Affordable,63,1051.0,0.37,1318000.0,109512000,6.51,52.4,1644.0
Q2 2024,2024,Dubai South,Affordable,69,1131.0,7.68,1122000.0,111047000,6.5,59.4,1421.0
Q3 2024,2024,Dubai South,Affordable,60,1083.0,-4.26,1324000.0,111939000,6.52,51.7,1703.0
Q4 2024,2024,Dubai South,Affordable,73,1198.0,10.64,1180000.0,116079000,6.48,63.0,1346.0
Q1 2022,2022,Damac Hills,Mid-Market,90,1122.0,,1308000.0,151751000,5.84,51.1,1505.0
Q2 2022,2022,Damac Hills,Mid-Market,104,1166.0,3.89,1144000.0,168349000,5.78,46.2,1385.0
Q3 2022,2022,Damac Hills,Mid-Market,105,1122.0,-3.73,1146000.0,181748000,5.78,34.3,1559.0
Q4 2022,2022,Damac Hills,Mid-Market,108,1187.0,5.79,1216000.0,195481000,5.81,44.4,1529.0
Q1 2023,2023,Damac Hills,Mid-Market,90,1240.0,4.41,1275000.0,177344000,5.77,50.0,1593.0
Q2 2023,2023,Damac Hills,Mid-Market,97,1339.0,8.0,1523000.0,197384000,5.83,54.6,1525.0
Q3 2023,2023,Damac Hills,Mid-Market,93,1395.0,4.21,1542000.0,181183000,5.8,57.0,1418.0
Q4 2023,2023,Damac Hills,Mid-Market,103,1329.0,-4.76,1749000.0,220694000,5.77,54.4,1607.0
Q1 2024,2024,Damac Hills,Mid-Market,94,1396.0,5.05,1486000.0,180339000,5.8,56.4,1377.0
Q2 2024,2024,Damac Hills,Mid-Market,84,1411.0,1.07,1384000.0,160674000,5.76,50.0,1368.0
Q3 2024,2024,Damac Hills,Mid-Market,90,1395.0,-1.11,1479000.0,190903000,5.79,62.2,1503.0
Q4 2024,2024,Damac Hills,Mid-Market,86,1581.0,13.35,1816000.0,212618000,5.78,57.0,1569.0
Q1 2022,2022,Arabian Ranches,Mid-Market,87,1619.0,,1574000.0,209646000,4.9,48.3,1488.0
Q2 2022,2022,Arabian Ranches,Mid-Market,93,1726.0,6.6,1984000.0,252603000,4.9,43.0,1568.0
Q3 2022,2022,Arabian Ranches,Mid-Market,95,1713.0,-0.73,1538000.0,260088000,4.87,41.1,1569.0
Q4 2022,2022,Arabian Ranches,Mid-Market,82,1691.0,-1.3,2350000.0,232826000,4.87,59.8,1682.0
Q1 2023,2023,Arabian Ranches,Mid-Market,75,1843.0,8.96,2376000.0,211639000,4.88,50.7,1514.0
Q2 2023,2023,Arabian Ranches,Mid-Market,94,1931.0,4.78,2175000.0,297434000,4.89,50.0,1639.0
Q3 2023,2023,Arabian Ranches,Mid-Market,88,2017.0,4.47,2451000.0,297254000,4.88,55.7,1657.0
Q4 2023,2023,Arabian Ranches,Mid-Market,79,1979.0,-1.9,2638000.0,259557000,4.85,46.8,1659.0
Q1 2024,2024,Arabian Ranches,Mid-Market,79,2033.0,2.76,2045000.0,243208000,4.92,59.5,1507.0
Q2 2024,2024,Arabian Ranches,Mid-Market,82,2006.0,-1.36,2268000.0,253965000,4.89,50.0,1523.0
Q3 2024,2024,Arabian Ranches,Mid-Market,72,2109.0,5.14,2142000.0,230730000,4.95,51.4,1508.0
Q4 2024,2024,Arabian Ranches,Mid-Market,88,2231.0,5.79,2594000.0,335740000,4.91,60.2,1681.0
